scottyab/showhidepasswordedittext,","
rafaelconde/ios8-ui-kit,","
kartograph/kartograph.js,","
davemorrissey/subsampling-scale-image-view,","
coresmart/persistencejs,","
maccman/juggernaut,","
twitter-archive/kestrel,","
Simbul/baker,","
gh-unit/gh-unit,","
gorilla/mux,","
lukabernardi/LBBlurredImage,","
garris/BackstopJS,","
codahale/metrics,","
square/cube,","
Lokaltog/vim-powerline,","
ben-manes/caffeine,","
nhaarman/supertooltips,","
go-chi/chi,","
keithamus/jwerty,","
mikepenz/Android-Iconics,","
morr/jquery.appear,","
everettjf/TomatoRead,","
Quick/Nimble,","
martinandert/react-inline,","
BorisMoore/jquery-tmpl,","
luin/ioredis,","
cameronmcefee/plax,","
addyosmani/critical,","
shoes/shoes-deprecated,","
github/objective-c-style-guide,","
cyrilmottier/GreenDroid,","
compose/governor,","
fommil/netlib-java,","
aanand/git-up,","
oakes/play-clj,","
cliftonc/calipso,","
rails/strong_parameters,","
steipete/PSTCollectionView,","
RReverser/mpegts,","
robb/Cartography,","
shiguredo/packer-templates,","
Quinny898/PersistentSearch,","
semperos/clj-webdriver,","
dz0ny/leapcast,","
farhadi/html5sortable,","
nanomsg/nanomsg,","
Eloston/ungoogled-chromium,","
kangax/html-minifier,","
oakes/SolidOak,","
kissyteam/kissy,","
SoftEtherVPN/SoftEtherVPN,","
CodaFi/AFNetworking-RACExtensions,","
yahoo/mojito,","
IdentityServer/IdentityServer3.Samples,","
IdentityServer/IdentityServer2,","
nicolaskruchten/pivottable,","
square/otto,","
rickyrauch/Balloons.IO,","
artursapek/mondrian,","
rsms/kod,","
MicrosoftEdge/static-code-scan,","
soffes/sstoolkit,","
catfan/Medoo,","
LeoNatan/LNNotificationsUI,","
zsh-users/antigen,","
layerhq/Atlas-iOS,","
ztellman/automat,","
gabrielbull/react-desktop,","
abrasive/shairport,","
heroku/hk,","
kasperisager/sails-generate-auth,","
mozilla/persona,","
git-game/git-game,","
nickoneill/PermissionScope,","
sebastianbergmann/money,","
josevalim/inherited_resources,","
lvillani/android-cropimage,","
insoshi/insoshi,","
mstarke/MacPass,","
YorickPeterse/ruby-lint,","
syedhali/EZAudio,","
ququplay/jquery-mobile-flat-ui-theme,","
p-e-w/finalterm,","
amoffat/bootstrap-application-wizard,","
rahatarmanahmed/CircularProgressView,","
facebook/facebook-ios-sdk,","
filamentgroup/loadCSS,","
skynetservices/skynet-archive,","
pixelsign/html5-device-mockups,","
rasmusbergpalm/DeepLearnToolbox,","
addyosmani/grunt-uncss,","
atmos/hubot-deploy,","
shu223/PulsingHalo,","
jeromegn/Backbone.localStorage,","
kossnocorp/jquery.turbolinks,","
sosedoff/pgweb,","
sparkfun/phant,","
